0	0
5947.791925	0.0238909091
7137.35031	0.0286690909
8326.908695	0.0334472727
10706.025465	0.0430036364
12490.3630425	0.0501709091
14869.4798125	0.0597272727
17843.375775	0.0716727273
21412.05093	0.0860072727
23791.1677	0.0955636364
26765.0636625	0.1075090909
27604.4465	0.15768
29812.80222	1.0512
31469.06901	2.1024
32021.15794	2.628
33125.3358	3.6792
33677.42473	4.2048
34229.51366	4.667328
33125.3358	6.3072
32021.15794	6.8328
30916.98008	7.3584
29260.71329	7.884
28708.62436	7.98912
27604.4465	8.25192
26500.26864	8.4096
24291.91292	8.6724
23791.1677	8.88

