0	0
2470.55985	0.0152613636
4447.00773	0.0274704545
5534.054064	0.0341854545
6028.166034	0.0372377273
7609.324338	0.047005
8202.258702	0.0506677273
8795.193066	0.0543304545
8992.837854	0.0555513636
9486.949824	0.0586036364
9882.2394	0.0610454545
12145.95646	0.06715
20979.37934	0.1343
27604.4465	0.20145
29260.71329	0.275315
31469.06901	0.329035
33125.3358	3.3575
34229.51366	6.0435
32352.411298	10.0725
32021.15794	10.40825
31469.06901	10.744
30916.98008	11.113325
30364.89115	11.4155
29260.71329	11.784825
27604.4465	12.2213
25948.17971	12.7585
19764.4788	13.55

