0.0	0.0
2234.50093	0.0155228571
3351.751395	0.0232842857
5586.252325	0.0388071429
6703.50279	0.0465685714
7820.753255	0.05433
10055.254185	0.0698528571
12289.755115	0.0853757143
13965.6308125	0.0970178571
15082.8812775	0.1047792857
16758.756975	0.1164214286
18218.93469	0.27165
19323.11255	0.43464
19875.20148	0.5433
21531.46827	1.0866
22083.5572	1.35825
22635.64613	1.6299
24291.91292	3.8031
24071.077348	4.29207
23850.241776	4.45506
23629.406204	4.61805
22635.64613	5.433
20979.37934	6.5196
19323.11255	7.6062
18771.02362	8.1495
17666.84576	8.6928
15641.50651	9.19

